user,item,rating
263,3885,2.0
474,5965,4.0
448,8832,1.5
105,9077,5.0
305,3148,3.5
91,2942,3.0
546,2098,3.0
103,946,4.5
51,1584,3.0
480,5706,2.5
216,2967,2.0
339,915,4.0
447,413,5.0
282,1914,4.0
184,8225,2.0
105,9273,2.5
432,7322,2.5
580,510,3.0
89,8700,5.0
29,47,3.5
182,4198,4.0
82,4222,3.5
230,595,4.0
358,7091,1.0
599,3980,2.5
414,1929,2.0
169,4257,4.0
158,286,4.0
271,902,4.0
74,3125,4.0
111,1393,3.5
610,8496,3.5
448,1599,3.0
603,743,5.0
439,1939,5.0
305,6757,3.0
225,969,4.0
167,3741,4.0
346,5054,3.0
82,1481,2.0
354,3148,4.5
453,3213,4.0
599,6281,3.0
51,1704,4.0
141,1866,3.5
288,1821,2.0
139,3841,1.5
587,1570,4.0
298,2967,0.5
182,2633,1.5
606,1074,3.5
202,46,3.0
8,157,5.0
5,462,5.0
66,3869,3.5
23,1645,3.0
18,338,2.5
365,8961,1.5
466,4843,4.5
564,473,3.0
414,1624,2.0
448,8476,2.0
82,3048,3.5
428,2219,3.0
473,255,4.0
182,915,4.5
43,509,4.0
608,4404,3.5
356,132,3.0
414,9421,4.0
307,2530,1.0
62,4132,5.0
450,2663,4.0
187,509,1.0
562,1516,4.0
599,2122,2.5
140,3698,4.0
136,254,3.0
96,225,5.0
610,8273,4.0
470,230,4.0
606,250,4.0
584,507,4.0
307,2597,3.5
600,1706,2.5
511,6500,3.5
518,1199,3.5
368,1119,3.0
448,5988,2.0
525,4601,3.0
478,296,2.5
441,900,5.0
177,5956,1.5
419,6906,4.0
274,7103,3.5
284,203,4.0
62,7627,4.5
444,338,4.0
414,1555,2.0
479,1000,4.0
474,1809,3.0
91,5149,3.5
560,7044,4.0
339,6910,4.5
6,236,3.0
195,261,4.0
93,1398,5.0
68,6667,3.0
135,2,3.0
480,2402,3.5
599,4346,3.0
292,4665,3.5
517,1472,1.0
534,6475,3.5
606,485,3.0
240,510,3.0
570,2079,3.0
555,2110,5.0
73,8443,2.0
225,292,5.0
372,1039,3.0
219,6578,1.0
368,2889,3.0
290,1761,4.0
68,3134,2.5
305,4355,5.0
474,5703,4.0
21,7757,4.0
226,779,2.5
298,4927,4.0
28,6242,3.0
279,8185,2.0
561,7882,2.0
274,1063,2.5
531,3175,3.0
414,74,2.0
204,6322,3.5
246,4346,4.5
47,2213,2.5
105,6665,3.5
570,4901,4.0
111,3521,3.0
599,1219,3.0
607,2165,5.0
600,1956,3.0
387,2331,4.5
28,6,3.5
599,4843,1.5
274,905,3.5
438,288,3.5
135,3048,4.0
307,1015,0.5
518,31,1.0
204,6694,4.0
166,6240,4.5
599,4417,3.0
608,4569,3.5
202,165,3.0
566,486,1.0
469,2014,2.0
504,4112,4.5
570,134,2.5
132,958,3.0
104,6439,4.0
318,7127,4.0
606,5378,4.0
217,1174,2.0
80,7308,4.5
4,2678,1.0
356,3636,3.5
182,702,4.0
599,6359,2.0
292,2038,4.0
254,6242,4.5
115,1067,5.0
213,6228,4.0
249,8021,2.5
62,8912,4.5
64,5356,4.5
476,296,4.0
474,3600,3.0
248,2833,3.5
438,2623,3.0
252,8529,4.0
332,925,3.5
153,7751,0.5
586,3841,3.5
591,191,4.0
382,4609,3.5
91,2028,4.0
45,338,4.0
10,4936,3.5
166,2038,3.5
66,4041,5.0
357,6635,4.5
289,921,3.5
514,7002,4.0
235,192,3.0
446,203,3.0
339,7630,4.0
290,2331,5.0
103,4607,4.0
66,702,3.5
477,908,4.0
489,1235,0.5
432,1662,4.0
99,10,4.0
509,5,1.5
39,2493,5.0
414,34,3.0
608,907,3.5
414,1482,2.0
387,889,4.5
307,4517,2.5
555,2986,4.0
414,5382,2.5
265,975,4.0
274,1623,4.0
555,1476,3.0
64,4346,3.0
308,6260,2.0
482,1057,5.0
438,2878,3.5
168,908,5.0
448,9283,2.0
420,907,4.0
292,7591,4.0
489,1181,3.0
19,1671,3.0
424,951,3.5
221,2439,3.5
563,3091,4.0
45,3625,2.0
414,1801,5.0
220,5260,4.0
63,923,2.5
602,483,4.0
305,3275,3.5
135,258,4.0
240,452,5.0
610,4363,3.5
249,218,4.0
414,6583,3.5
448,7595,3.0
387,4150,3.0
240,220,5.0
430,2800,4.0
522,3466,3.5
226,5956,4.0
19,1592,2.0
596,1827,3.5
202,975,4.0
600,2195,4.0
63,3886,4.0
414,4239,3.0
429,302,3.0
125,5299,3.0
83,6322,3.0
42,124,5.0
112,2371,5.0
101,1791,3.0
177,1177,4.0
428,2825,2.0
63,2566,4.0
330,435,4.0
274,3881,3.0
494,902,5.0
350,585,3.0
356,2301,4.0
455,507,3.0
428,141,2.0
509,784,2.5
414,2348,4.0
310,946,4.5
600,5199,3.0
77,5902,5.0
474,2941,3.5
474,1988,1.5
298,8707,2.0
580,2127,3.5
307,323,3.0
351,3886,4.0
91,29,4.0
480,4799,4.5
313,167,4.0
414,6040,4.0
92,650,5.0
410,2985,5.0
338,905,5.0
98,6969,4.0
414,2101,3.0
600,5896,2.0
380,2581,4.0
253,1529,4.0
560,2999,3.5
414,390,3.0
483,3455,2.5
290,745,5.0
34,5613,4.5
586,3610,4.0
41,6465,3.5
206,619,4.0
239,1005,3.5
274,1074,3.5
342,2134,3.0
200,6630,4.5
153,6417,0.5
219,1315,2.0
292,2824,2.0
275,659,4.0
140,896,3.0
599,1102,0.5
606,2999,3.5
232,6680,3.5
219,3556,1.5
19,899,5.0
600,2805,1.0
509,1545,3.5
387,4253,3.5
40,334,3.0
103,6564,5.0
148,315,4.0
318,4833,3.0
91,1645,3.5
414,1940,4.0
313,32,4.0
254,3564,4.0
111,9193,4.0
474,732,4.5
448,2992,4.0
246,475,5.0
509,619,3.0
111,8721,4.5
370,4154,3.5
217,1988,3.0
603,1459,4.0
288,5801,2.0
270,816,5.0
274,7242,4.5
460,3850,5.0
483,787,2.0
298,8506,2.5
560,6465,2.5
599,7356,3.0
140,2837,3.0
414,5408,4.0
39,508,4.0
167,5999,5.0
100,510,4.0
133,508,3.0
484,2,2.5
597,1886,2.0
68,2342,4.0
181,455,2.0
419,3054,1.5
91,5079,3.5
358,7062,3.5
564,2007,3.0
406,2043,3.5
230,505,3.5
111,5896,3.5
452,900,5.0
530,308,4.0
415,3791,3.5
6,437,5.0
105,4292,4.0
57,686,4.0
105,973,3.5
307,3980,4.0
600,29,4.5
427,3641,2.5
522,863,4.5
307,5332,2.5
190,8555,4.0
369,3163,3.0
599,187,2.0
177,4476,3.0
391,858,3.0
274,3624,3.5
125,8982,3.5
608,4113,5.0
414,1399,2.0
228,2263,4.0
274,3457,3.5
29,315,4.5
372,462,5.0
317,258,5.0
610,8299,3.5
17,1939,5.0
405,6295,3.5
275,1005,4.0
288,989,2.0
132,1319,2.0
483,1282,2.5
565,399,4.0
295,6994,5.0
254,1,4.5
599,4471,2.0
32,511,5.0
414,1587,3.0
484,2714,4.0
111,7027,4.5
606,519,3.0
45,2980,5.0
448,2435,4.0
422,1947,3.0
304,1726,3.0
274,6403,4.0
608,2460,3.5
441,828,4.5
414,1577,4.0
232,484,3.5
545,1826,4.0
610,5289,3.0
565,198,3.0
111,6911,4.0
68,4071,5.0
609,258,4.0
483,3980,5.0
365,7379,2.5
212,8682,4.0
428,2217,3.0
186,898,5.0
167,2997,4.0
99,203,5.0
597,2036,3.0
144,1135,3.0
285,3052,3.0
111,1177,3.5
381,2301,4.0
599,1404,3.0
262,235,5.0
448,20,3.0
580,254,3.0
562,3980,4.0
590,659,3.0
312,4132,5.0
554,2150,4.0
186,507,5.0
577,399,4.0
171,870,5.0
425,779,4.0
603,681,5.0
217,1121,1.0
68,608,3.0
559,460,4.0
560,5781,3.0
596,899,3.5
21,8206,1.5
610,7440,3.5
350,602,4.0
225,338,3.0
105,914,5.0
577,902,3.0
249,6845,4.0
20,1549,4.0
469,839,3.0
298,8272,3.0
514,11,4.0
590,949,5.0
570,907,3.5
275,1429,3.0
80,5337,3.5
140,23,3.0
40,289,3.0
50,1060,3.0
274,7353,3.5
351,6694,3.5
105,2693,3.5
15,8120,4.0
317,6047,4.0
412,686,4.0
525,5151,3.0
290,1905,4.0
568,2150,5.0
592,278,4.0
219,2097,4.5
224,1503,5.0
226,1074,4.0
220,5902,4.5
111,9507,4.5
606,2544,4.0
296,2225,5.0
274,6240,1.5
606,6454,2.0
604,145,2.0
20,206,4.5
54,513,3.0
387,2586,3.0
68,1378,2.0
414,2766,3.0
288,1545,3.0
534,5152,2.0
219,660,4.5
603,2412,4.0
165,3901,3.0
426,437,5.0
156,1771,4.0
482,4542,4.0
83,6030,3.0
536,199,2.0
182,923,5.0
38,211,5.0
95,2633,4.5
414,4916,2.0
288,5956,4.5
368,457,3.0
49,8183,4.0
489,5989,4.0
365,315,4.5
606,2249,3.0
380,5321,3.0
274,528,3.5
177,321,4.0
274,3952,3.5
480,5936,2.5
135,2436,4.0
232,1164,3.5
571,1022,4.0
200,124,4.0
480,98,5.0
318,7564,5.0
288,7023,4.5
522,4356,4.0
517,6614,3.0
10,1322,3.5
357,3766,3.0
410,2363,5.0
601,5778,5.0
166,3558,4.0
47,1820,3.5
610,9158,3.5
290,278,5.0
414,901,5.0
99,173,1.0
187,6139,3.5
200,5,4.0
28,5969,4.0
288,2918,1.0
160,786,4.0
182,3999,2.0
497,900,4.0
267,2148,2.0
86,3190,4.0
105,5574,5.0
202,2710,3.0
494,303,1.0
610,6203,3.0
80,376,4.0
95,2222,4.0
305,6911,5.0
256,146,5.0
387,1113,3.0
297,193,3.0
294,388,1.0
414,3635,4.0
408,6806,4.0
160,2569,2.0
42,1257,4.0
474,5405,3.5
140,1192,4.0
483,1154,3.5
366,7356,4.0
448,8806,2.0
528,6888,1.5
307,3333,2.0
522,5625,4.0
606,4881,4.5
319,6756,5.0
351,1977,3.5
47,2103,2.0
610,2941,4.0
586,6865,5.0
412,2034,1.0
68,1286,2.0
414,5337,4.0
275,578,4.0
527,786,3.0
47,4156,2.0
89,4936,2.5
304,1183,5.0
64,1236,2.5
561,2145,3.5
448,1061,3.0
599,132,1.0
555,1487,3.0
352,923,4.0
414,1939,5.0
527,1768,3.0
66,541,3.0
40,185,1.0
414,8978,4.5
160,1189,1.0
287,3540,4.0
563,6384,2.5
469,2004,3.0
156,922,4.0
606,3860,3.0
589,258,5.0
490,7440,4.0
474,2624,3.0
477,552,4.0
575,1962,3.0
56,323,5.0
135,907,5.0
68,2259,3.5
274,785,2.0
167,2833,5.0
144,4257,3.5
263,1146,3.0
105,2981,3.0
422,695,4.0
328,1033,3.0
186,448,4.0
253,6548,4.0
19,1979,3.0
343,3634,5.0
608,5213,3.5
199,2159,2.0
38,17,3.0
226,3815,4.0
34,4756,4.5
42,1114,2.0
76,6437,3.5
274,2833,3.0
527,3457,4.0
474,3349,4.0
610,972,5.0
558,3709,4.0
68,2037,3.0
91,831,4.5
480,5362,4.0
556,7627,4.5
452,794,4.0
405,6566,4.0
489,793,3.5
380,5364,4.0
606,1163,4.5
28,2476,4.0
326,87,3.5
328,5881,1.5
336,1224,3.5
105,7972,5.0
18,5981,1.5
297,662,4.0
307,462,4.5
599,3127,2.5
68,578,3.0
232,6481,3.5
311,4346,3.5
105,2697,4.0
298,2467,2.0
132,2602,4.0
182,1275,4.0
140,2339,4.0
187,4146,3.5
305,6631,3.0
347,139,3.0
288,3260,1.0
84,197,3.0
212,8449,4.5
105,3779,4.0
274,6802,3.5
414,5687,2.5
542,5151,4.5
298,6318,2.0
357,3140,4.5
448,7956,2.5
368,1661,4.0
332,832,4.0
136,541,4.0
610,597,4.5
414,734,5.0
105,3719,3.0
391,929,5.0
415,4901,5.0
458,765,4.0
573,1154,4.5
398,7450,5.0
414,7522,4.0
219,2415,3.5
561,1445,4.0
326,3137,3.5
240,2,5.0
610,8727,4.5
76,4132,3.0
483,5857,4.5
288,952,3.0
596,2417,4.0
234,770,5.0
68,7177,3.5
156,2594,5.0
328,9421,4.0
64,3457,3.5
7,3190,4.0
550,9427,0.5
414,3128,2.0
51,59,3.5
64,3741,3.5
474,1757,4.0
150,534,3.0
200,827,4.0
42,331,2.0
610,8524,4.0
483,3881,3.0
90,102,5.0
94,10,3.0
318,7939,4.5
483,5295,4.0
18,5857,3.0
54,258,3.0
332,934,4.0
249,6203,4.5
474,787,3.0
307,254,2.0
365,2804,2.0
327,2031,5.0
480,1623,3.0
608,44,4.5
477,333,0.5
387,2887,3.0
560,4475,3.5
288,357,3.0
567,7938,3.0
599,4772,2.0
103,3564,3.5
19,977,4.0
445,4132,4.0
274,2904,4.5
41,8612,4.0
609,157,3.0
308,660,1.5
28,304,4.0
304,990,5.0
104,5151,4.0
179,589,3.0
274,1325,3.5
543,3348,4.0
608,3347,2.0
221,1572,3.0
234,2758,4.0
572,858,1.0
68,6666,3.5
606,6268,3.0
474,4725,4.0
603,3013,4.0
18,7399,4.0
111,9460,4.5
462,977,4.5
346,951,4.5
198,2567,5.0
491,7627,5.0
502,4836,4.5
255,1390,3.0
603,1113,2.0
425,868,3.5
298,6257,2.0
596,8015,3.5
414,3154,2.0
420,1158,3.5
18,1822,3.0
560,2011,4.0
68,506,2.0
216,1664,5.0
182,3721,4.5
119,9015,4.5
601,2259,4.0
522,7196,1.0
414,2819,2.0
318,8866,4.0
365,6960,3.5
390,3618,5.0
484,3695,4.0
288,2101,3.0
203,365,3.0
91,1046,3.0
610,982,3.0
488,3106,3.0
305,6694,5.0
523,2942,4.5
313,703,2.0
84,908,4.0
593,5956,4.5
606,907,4.5
597,1678,5.0
462,2796,3.5
307,1563,1.5
356,1243,4.5
28,6731,2.0
475,6205,4.5
432,19,2.0
6,17,4.0
592,240,3.0
202,958,5.0
41,1135,3.0
33,1330,3.0
590,2045,2.0
372,958,4.0
600,4798,1.0
351,6315,4.0
248,3190,3.5
160,1275,2.0
606,2446,4.5
438,5114,3.5
474,4127,3.5
216,790,4.0
377,3899,3.5
410,1711,5.0
414,3199,4.0
269,599,3.0
538,7059,4.5
387,5848,4.0
377,2630,2.0
571,2317,5.0
298,7711,3.0
599,1774,1.5
307,5364,3.0
514,2093,2.5
125,8664,4.5
500,2307,3.0
610,3273,5.0
70,992,5.0
428,2800,2.0
304,637,2.0
417,4792,5.0
599,2407,2.0
482,5382,4.5
414,4260,3.0
177,5723,2.5
414,177,2.0
474,3056,3.5
524,696,3.0
380,896,4.0
249,458,4.0
290,2411,3.0
455,56,4.0
66,4240,3.5
599,1152,1.5
103,7708,4.0
559,1158,5.0
525,1883,4.5
96,2851,3.0
560,5214,3.5
116,309,4.0
232,550,3.0
586,6196,5.0
438,2028,4.0
217,1805,3.0
19,1969,1.0
480,10,4.0
414,2232,4.0
475,990,5.0
590,2370,1.0
290,1934,4.0
6,553,3.0
33,11,2.0
608,177,3.0
361,6472,4.0
559,444,4.0
128,814,5.0
369,1109,3.5
438,3641,2.5
279,47,3.5
263,2371,4.0
304,778,4.0
80,7336,4.0
588,323,3.0
354,4843,3.5
219,5991,2.5
453,1761,4.0
414,3554,5.0
580,2126,4.0
438,1915,2.5
28,2215,3.5
46,245,3.0
166,6295,3.0
391,1231,5.0
494,3319,3.0
607,1224,5.0
288,2285,4.0
159,2371,0.5
66,1217,3.0
525,6278,4.0
316,1522,2.0
99,292,5.0
182,657,1.5
607,595,5.0
416,3614,4.0
381,227,4.0
610,7753,3.5
475,623,4.5
103,552,4.0
509,5151,4.0
91,1898,2.0
103,1,4.0
391,914,4.0
153,8669,0.5
480,2997,2.5
318,7084,4.0
606,1575,4.5
109,135,3.0
232,5934,3.0
595,616,4.0
100,2031,3.5
608,510,3.0
129,5157,4.0
75,2740,5.0
514,1477,3.0
474,3028,3.0
520,4940,2.0
432,127,3.5
447,255,5.0
603,33,4.0
357,3220,2.5
599,1428,2.0
532,462,5.0
452,44,5.0
495,7397,5.0
317,4901,4.0
51,341,3.0
391,2979,1.0
603,371,4.0
474,722,3.5
156,743,4.0
610,6427,3.5
520,2544,4.0
200,6511,5.0
376,4843,4.0
229,304,4.0
596,5614,4.0
220,7014,3.5
177,507,4.0
391,923,4.0
318,513,3.5
91,1604,2.5
230,4420,1.5
113,483,2.0
428,4346,3.0
182,3094,4.5
322,521,4.5
435,137,3.5
525,6249,3.0
437,546,5.0
513,511,4.0
305,8270,4.0
469,1056,1.0
68,2079,4.5
474,185,1.0
489,2544,3.0
129,1939,4.5
249,3881,3.5
260,5191,3.0
509,227,4.5
606,5612,4.0
45,2569,1.0
492,596,5.0
317,2993,4.0
45,2960,5.0
106,5157,5.0
610,3714,3.5
523,7785,4.0
591,1939,5.0
447,134,2.0
380,3095,2.5
474,600,4.0
420,880,4.0
136,384,5.0
525,254,3.5
217,1661,4.0
135,1067,5.0
274,6513,3.0
220,3348,4.5
131,3641,3.0
282,1291,3.0
474,4737,3.5
380,5370,3.0
212,5364,3.0
495,1691,4.5
474,4060,2.5
558,1291,4.0
103,3429,4.0
448,1059,2.0
484,5731,4.0
346,1796,4.0
414,6514,4.0
130,509,3.0
595,1286,3.0
76,2078,4.0
480,99,4.5
111,7246,5.0
525,3786,2.0
306,3564,3.0
298,8209,3.0
414,6912,3.5
175,5153,3.5
560,8520,4.0
599,19,3.0
271,1987,2.5
563,6249,4.0
68,6061,3.5
84,260,5.0
510,5214,1.0
610,7453,4.0
396,4355,4.5
111,5218,2.5
474,36,3.5
68,1823,4.0
376,6518,5.0
294,1481,2.0
306,9376,3.5
275,1394,5.0
564,6913,3.0
599,7467,3.0
126,127,4.0
134,218,4.0
590,3694,3.0
414,1580,2.0
474,1582,2.0
307,473,2.0
371,1305,5.0
18,2014,2.5
160,2709,1.0
606,3562,4.0
448,4716,3.0
282,3013,3.5
380,8182,3.0
200,2195,5.0
475,7137,5.0
314,23,3.0
177,2045,3.5
509,1390,4.0
385,884,4.0
149,707,2.0
111,3821,3.0
599,1623,3.5
331,5364,4.0
202,2553,3.0
117,656,3.0
514,56,4.0
352,2371,5.0
436,423,3.0
469,1674,4.0
198,2602,4.0
606,2641,4.0
309,1161,4.5
301,44,4.5
448,8774,2.0
466,3141,3.5
555,1318,3.0
68,6507,3.0
368,577,2.0
561,1478,3.5
527,396,5.0
414,6838,4.5
414,191,5.0
299,2611,5.0
483,114,3.5
306,7286,3.0
607,702,5.0
357,7438,4.0
266,36,2.0
288,829,4.5
438,3137,4.5
210,9112,5.0
567,5397,5.0
348,6694,4.5
156,1150,3.0
246,3610,4.5
153,4567,0.5
234,127,5.0
249,6514,4.0
232,3910,3.5
180,899,4.0
328,3570,4.0
528,923,4.0
465,2790,4.0
292,6975,2.5
438,1755,4.0
37,276,5.0
600,1602,4.5
241,6226,4.5
248,8670,4.0
600,3568,3.0
367,2536,5.0
12,1291,5.0
506,6467,4.0
103,1585,4.0
305,7860,1.5
429,277,5.0
452,1288,5.0
597,2101,5.0
167,1567,3.0
452,1961,4.0
424,957,4.5
105,7355,4.0
357,5440,5.0
483,5439,4.5
448,1897,3.0
1,1220,4.0
105,915,4.0
414,7629,3.5
282,3283,3.0
414,899,5.0
33,1404,5.0
51,3203,4.0
597,1858,4.0
603,2152,4.0
414,7145,4.0
590,5956,2.0
103,7751,4.5
368,2894,1.0
169,1979,4.0
164,2719,5.0
182,3516,4.0
325,2140,4.0
428,4901,4.0
524,933,5.0
477,638,0.5
288,3307,2.0
391,1267,4.0
198,1004,3.0
489,3230,1.5
382,8576,3.5
201,24,4.0
64,3284,3.5
178,511,4.5
462,462,1.5
288,776,4.0
387,1218,4.5
475,939,4.5
200,5652,3.0
57,2600,4.0
314,1044,3.0
555,1777,4.0
460,6756,5.0
307,1704,4.0
603,1589,4.0
534,8047,4.5
4,2441,4.0
459,7356,4.5
103,18,5.0
357,787,4.0
212,6406,4.5
274,1979,2.5
597,1820,4.0
599,6266,3.0
325,2919,4.0
600,2258,4.5
586,7602,5.0
298,2714,1.5
470,34,4.0
132,7023,3.5
217,449,3.0
467,53,5.0
599,5747,2.5
256,911,4.0
599,2035,2.0
249,6732,3.5
537,7027,4.0
330,508,3.5
448,5717,3.5
389,585,4.0
474,2291,4.0
117,250,2.0
596,3137,4.5
599,554,2.0
582,7429,4.0
294,987,4.0
17,790,4.5
476,528,3.0
123,7356,4.0
610,8288,4.5
226,4257,2.5
137,4923,3.5
32,533,4.0
599,179,2.0
599,3428,1.5
488,934,3.0
448,12,2.0
219,5723,3.0
349,323,4.0
608,124,2.0
316,303,4.5
249,7440,4.0
265,1057,5.0
447,312,5.0
582,8552,3.5
603,2262,1.0
284,595,4.0
610,8042,4.0
91,3240,4.0
346,2796,4.5
171,34,4.0
346,947,4.5
377,916,5.0
599,834,4.0
447,474,4.0
387,4422,3.5
86,3850,4.5
288,782,5.0
559,100,3.0
427,3658,3.0
318,8046,5.0
50,951,4.0
182,942,5.0
606,994,4.5
57,911,4.0
606,1211,3.5
514,3249,2.5
382,6990,3.0
6,377,5.0
469,1429,5.0
474,2341,3.0
311,3593,2.0
464,2993,4.5
603,1960,5.0
140,1209,3.0
580,4096,4.0
210,508,4.0
387,4757,3.5
217,2512,4.0
50,8141,2.5
318,1231,4.0
21,8269,3.5
275,964,5.0
464,16,4.5
428,1194,3.0
274,1174,2.5
522,3642,3.5
509,6531,3.0
553,6597,4.0
536,139,2.0
470,399,4.0
116,660,1.5
385,1074,4.0
577,1987,3.0
489,329,0.5
21,2219,4.5
199,1702,5.0
45,2079,4.0
448,8393,2.5
221,2904,4.5
268,1661,3.0
579,419,4.0
400,899,4.5
95,4665,4.0
62,6754,3.5
298,6578,0.5
119,8586,4.0
232,4351,3.0
294,2535,4.0
125,7889,3.5
173,17,4.0
160,32,5.0
534,127,3.5
464,7245,2.0
195,32,4.0
64,5254,4.0
480,5817,3.5
64,5050,3.5
326,5324,5.0
453,2833,3.0
154,7023,5.0
483,1478,3.0
75,710,4.5
219,3828,2.0
534,6871,4.0
390,4647,3.0
81,127,3.0
563,787,3.5
69,3473,2.0
414,4313,2.5
286,397,4.0
603,2333,4.0
370,2963,3.5
474,836,4.0
414,907,5.0
572,886,5.0
608,521,3.0
153,623,0.5
477,4575,4.0
182,192,3.0
182,4021,4.5
50,8500,3.0
104,660,1.5
469,1608,4.0
425,1961,4.5
432,6299,2.5
555,2678,3.0
169,399,4.0
140,6059,4.0
298,2020,3.0
232,1704,3.0
19,1674,4.0
380,2197,4.0
313,1987,3.0
524,327,3.0
387,2393,4.0
27,1557,4.0
560,5916,4.0
4,3148,5.0
232,6614,3.0
596,4141,3.5
307,1215,0.5
249,6672,3.0
139,6472,2.0
534,4910,4.5
602,198,2.0
195,2980,5.0
